Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Zimbabwe,ZWE,2015,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,19.9
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,16.7
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,15.6
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,26
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,31.7
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,8.1
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,7.5
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,12.2
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,12
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,22.8
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,22.3
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,33
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,27.8
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,21.4
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,21.4
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,30.2
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,31.2
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,38.7
Zimbabwe,ZWE,2014,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,37.4
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,39.6
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,47.7
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,51
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,14.5
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,16.9
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,24.3
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,22.3
Zimbabwe,ZWE,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.63
Zimbabwe,ZWE,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.72
Zimbabwe,ZWE,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.39
Zimbabwe,ZWE,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.99
Zimbabwe,ZWE,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.88
Zimbabwe,ZWE,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,4.67
Zimbabwe,ZWE,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,4.92
Zimbabwe,ZWE,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.93
Zimbabwe,ZWE,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.77
Zimbabwe,ZWE,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.46
Zimbabwe,ZWE,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,8
