GHO (CODE),GHO (DISPLAY),GHO (URL),GBDCHILDCAUSES (CODE),GBDCHILDCAUSES (DISPLAY),GBDCHILDCAUSES (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZWE,Zimbabwe,,,,,,,,GHE001,Communicable & other Group I,,,,,86,86.00000,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZWE,Zimbabwe,,,,,,,,GHE060,Noncommunicable diseases,,,,,9,9.00000,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZWE,Zimbabwe,,,,,,,,GHE151,Injuries,,,,,5,5.00000,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZWE,Zimbabwe,,,,,,,,GHE001,Communicable & other Group I,,,,,74,74.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,36,35.87091,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,710,709.74740,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,,,,ZWE,Zimbabwe,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,2976,2975.66700,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,2976,2975.66700,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,2762,2761.69100,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZWE,Zimbabwe,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,124,124.36220,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,686,686.44220,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,,,,ZWE,Zimbabwe,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
